customer_id,name,email_id,address,gender,age,joining_date,registered,order_id,orders,spent,job,hobbies,is_married,_errors,_warnings
amxda257,David Benson,davidbenson257@slingacademy.com,"444 Derek Summit Lisaborough, WA 20685",male,61,07-12-2022 20:15,15-04-2022,null,17,111.11,Lawyer,Meditation,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxki513,Kimberly Mora,kimberlymora513@slingacademy.com,"7679 Perry Square West Amybury, RI 15144",female,34,07-12-2022 20:15,19-05-2019,null,10,208.46,Farmer,Collecting,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxer904,Erik Macias,erikmacias904@wingacademy.com,"568 Christopher Tunnel Toddburgh, DE 86966",male,25,07-12-2022 20:15,18-04-2020,null,8,439.53,Accountant,Fishing,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxja681,James Johnson,jamesjohnson681@wingacademy.com,"19870 Sean Parkway North Jamesfurt, NC 28950",male,67,07-08-2022 20:15,17-02-2019,null,5,394.95,Security Guard,Watching movies,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxde324,Derek Peterson,derekpeterson324@wingacademy.com,"70830 Jonathan Pine Wilcoxburgh, MI 38265",male,36,07-12-2022 20:15,15-12-2020,null,2,153.8,Architect,Photography,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxdi438,Diane Henson,dianehenson438@wingacademy.com,"86382 Baker Ports Apt. 074 Cookfurt, NM 54313",female,74,07-12-2022 20:15,21-03-2020,null,19,62.52,Butcher,Playing musical instruments,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxco721,Cody Lyons,codylyons721@wingacademy.com,"60971 Carrillo Square Suite 141 New Kimberlybury, AS 02128",male,47,07-12-2022 20:15,25-11-2019,null,14,43.17,Baker,Hunting,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxma249,Margaret Hardy,margarethardy249@wingacademy.com,"2900 Sandra Villages Apt. 985 Phillipsstad, NH 19830",female,25,07-12-2022 20:15,17-07-2021,null,9,455.27,Barber,Other,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxar881,Arthur Hayes,arthurhayes881@wingacademy.com,"353 Elizabeth Forest Deannachester, NM 66952",male,75,07-15-2022  20:15:39,01-04-2021,null,6,749.78,Chef,Sewing,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxra702,Raymond Taylor,raymondtaylor702@wingacademy.com,"07867 John Mills Apt. 985 Tinaville, ID 59142",male,36,07-12-2022 20:15,24-09-2021,null,6,125.18,Butcher,Playing musical instruments,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxti476,Tina Moore,tinamoore476@wingacademy.com,"50984 Shelly Pass Port Nicholas, SC 48629",female,34,07-12-2022 20:15,15-07-2020,null,17,888.53,Chef,Running,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxky170,Kylie White,kyliewhite170@wingacademy.com,"5004 Christine Falls Suite 217 Jasonburgh, NJ 75688",female,63,07-12-2022 20:15,03-02-2020,null,6,872.18,Janitor,Reading,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxjo648,Jonathan Manning,jonathanmanning648@wingacademy.com,"1501 Gregory Glens Suite 940 Stephensstad, GU 55206",male,30,07-12-2022 20:15,21-01-2022,null,0,178.54,Librarian,Playing sports,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxan256,Angela Bryant,angelabryant256@wingacademy.com,"01454 Christopher Turnpike North Ryanstad, MI 36226",female,23,07-12-2022 20:15,11-09-2019,null,3,525.2,Politician,Cycling,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxja681,James Johnson,jamesjohnson681@wingacademy.com,"19870 Sean Parkway North Jamesfurt, NC 28950",male,67,07-08-2022 20:15,17-02-2019,null,5,394.95,Security Guard,Watching movies,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxde324,Derek Peterson,derekpeterson324@wingacademy.com,"70830 Jonathan Pine Wilcoxburgh, MI 38265",male,36,07-12-2022 20:15,15-12-2020,null,2,153.8,Architect,Photography,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxdi438,Diane Henson,dianehenson438@wingacademy.com,"86382 Baker Ports Apt. 074 Cookfurt, NM 54313",female,74,07-12-2022 20:15,21-03-2020,null,19,62.52,Butcher,Playing musical instruments,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxco721,Cody Lyons,codylyons721@wingacademy.com,"60971 Carrillo Square Suite 141 New Kimberlybury, AS 02128",male,47,07-12-2022 20:15,25-11-2019,null,14,43.17,Baker,Hunting,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxma249,Margaret Hardy,margarethardy249@wingacademy.com,"2900 Sandra Villages Apt. 985 Phillipsstad, NH 19830",female,25,07-12-2022 20:15,17-07-2021,null,9,455.27,Barber,Other,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxar881,Arthur Hayes,arthurhayes881@wingacademy.com,"353 Elizabeth Forest Deannachester, NM 66952",male,75,07-15-2022  20:15:39,01-04-2021,null,6,749.78,Chef,Sewing,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxra702,Raymond Taylor,raymondtaylor702@wingacademy.com,"07867 John Mills Apt. 985 Tinaville, ID 59142",male,36,07-12-2022 20:15,24-09-2021,null,6,125.18,Butcher,Playing musical instruments,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxti476,Tina Moore,tinamoore476@wingacademy.com,"50984 Shelly Pass Port Nicholas, SC 48629",female,34,07-12-2022 20:15,15-07-2020,null,17,888.53,Chef,Running,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxky170,Kylie White,kyliewhite170@wingacademy.com,"5004 Christine Falls Suite 217 Jasonburgh, NJ 75688",female,63,07-12-2022 20:15,03-02-2020,null,6,872.18,Janitor,Reading,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxom769,Omar Martin,omarmartin769@slingacademy.com,Unit 9103 Box 4771 DPO AA 16592,male,28,07-12-2022 20:15,28-05-2023,null,3,162.58,Doctor,Gardening,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxni473,Nicole Lara,nicolelara473@slingacademy.com,"9822 Lisa Courts Johnhaven, IL 80438",female,77,07-01-2022 20:15,03-03-2023,null,20,309.81,Janitor,Hiking,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxjo648,Jonathan Manning,jonathanmanning648@wingacademy.com,"1501 Gregory Glens Suite 940 Stephensstad, GU 55206",male,30,07-12-2022 20:15,21-01-2022,null,34,178.54,Librarian,Playing sports,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxan256,Angela Bryant,angelabryant256@wingacademy.com,"01454 Christopher Turnpike North Ryanstad, MI 36226",female,23,07-12-2022 20:15,11-09-2019,null,56,525.2,Politician,Cycling,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxti476,Tina Moore,tinamoore476@wingacademy.com,"50984 Shelly Pass Port Nicholas, SC 48629",female,34,07-12-2022 20:15,15-07-2020,null,89,888.53,Chef,Running,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxky170,Kylie White,kyliewhite170@wingacademy.com,"5004 Christine Falls Suite 217 Jasonburgh, NJ 75688",female,63,07-12-2022 20:15,03-02-2020,null,2,872.18,Janitor,Reading,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
